,AP.27JZ,AP.2XNK,AP.3336,AP.352Q,AP.3FY5,AP.4HAU,AP.4M7L,AP.52RG,AP.5JDU,AP.5L2V,AP.5MX6,AP.62LT,AP.67ZV,AP.7GDN,AP.8MWD,AP.9D3B,AP.9LNA,AP.9PXS,AP.A5NG,AP.AAFC,AP.AGZG,AP.B2SL,AP.B9CH,AP.CT3G,AP.D35H,AP.D9X4,AP.DM87,AP.DMUM,AP.DT88,AP.E7CU,AP.E98M,AP.EPNF,AP.EZEX,AP.FX68,AP.HKYN,AP.HMFR,AP.HML4,AP.JBET,AP.JK59,AP.KX5B,AP.KXUT,AP.LWHD,AP.MAZ4,AP.N8FG,AP.NMZS,AP.QAHT,AP.QUHC,AP.RA2G,AP.RBLG,AP.SJVE,AP.SS2L,AP.U8MP,AP.W455,AP.WDKZ,AP.WPAM,AP.WTXJ,AP.XCJX,AP.XSR5,AP.XVLY,AP.YTZ8
PCBP2,0.149689741,-0.142510126,0.20553127,0.688987435,0.436951159,0.250422477,-0.245546564,-0.255440687,-0.186905081,0.227039723,-0.074207618,0.207202582,0.013627703,-0.134847274,0.229302557,-0.361334595,0.044461142,0.479431961,-0.200403843,-0.063919025,-0.357802814,0.000444881,0.006082172,0.470651043,0.12483632,-0.253032371,-0.014691883,0.38713462,0.169448415,0.020655723,0.195402065,0.502935541,-0.667442075,0.07408993,-0.277641837,0.130079072,0.368379559,-0.370953979,0.058378303,0.028301033,0.252521051,-0.018492947,-0.076491534,-0.190722791,0.560986977,0.414054627,0.331486672,-0.2253605,0.480417433,-0.266857753,-0.526364581,-0.153650392,0.540892495,0.231529558,-0.165142722,0.413514001,0.226655194,-0.190345475,0.023402724,-0.019509744
ELOC,-0.065547429,0.187544158,-0.196794699,-0.178808826,-0.103242214,-0.329256326,-0.644415631,-0.625226654,-0.028809221,0.025528435,0.403608716,-0.220697791,0.253402904,0.120994741,-0.240239972,0.497575566,-0.072893064,-0.128045865,0.384560682,-0.354627012,-0.291786222,0.341310313,-0.18095957,-0.169258147,-0.463429608,0.044652704,0.060724367,0.26624268,-0.305725356,-0.239259847,-0.038776991,0.099678248,0.027388798,-0.787669281,-0.124180941,0.152688479,-0.33134575,0.401877808,-0.168446017,-0.789426409,0.10836263,-0.351152569,0.331563068,0.131814959,-0.17195717,-0.051072449,-0.22976204,0.659011231,-0.206892016,-0.192957644,0.252347969,1.10918884,-0.055510293,0.165606845,-0.076439024,-0.038531527,0.429052074,0.323218964,-0.063598339,0.026213478
ELOB,-0.538479544,0.573204817,-0.93784435,0.122843928,-0.428033065,-0.531162389,-1.479366949,-0.80181916,0.213386988,0.136250494,1.673573764,-1.414763116,1.068373049,-0.539306759,0.742101365,-0.589276803,-1.168331915,0.389544346,0.24573255,-1.444255564,-1.705681769,0.184276914,-0.786631482,-0.965034357,-1.026857625,-1.078908881,-0.719133144,1.819209032,-0.834408154,-0.316402734,-0.379139493,0.126375882,0.785463879,-0.453929081,-0.812111107,-0.997821518,-1.055970212,-0.12900732,-0.240535349,-1.278330109,0.039063657,-1.212642153,0.005570263,-1.050217251,-0.623372601,-0.191879867,-0.435602723,-0.433901908,-0.228287533,-1.153789438,-0.370967818,1.40681747,-1.399500152,0.562869038,0.103112186,0.195662589,-0.878327536,0.378600658,-0.943526357,-0.124456863
RHEB,-0.084744968,-0.025361634,-1.47174353,-0.150037333,-0.510170835,-0.966169115,-0.893233904,-1.066456494,-0.450819875,0.106213428,2.161915645,-1.277743129,0.123908692,-0.959457627,-0.409703908,-0.761545429,-0.711534251,-0.466850948,0.593971137,-1.666015869,-2.105733271,-0.523030024,-1.015447119,0.425650248,-1.534017841,-0.657001634,-0.774894845,1.790127356,-1.436880358,0.07051288,0.658211854,0.461313042,-0.213941175,-0.941262587,-0.022093439,0.459051741,-0.542202174,-0.460050358,-0.824129725,-0.824588033,-0.696610627,-0.785805926,-0.044548189,-1.217142184,-0.908298823,-0.191140572,-0.728277723,-0.880511942,0.890645527,-1.00207418,-1.082844388,0.873052341,-1.247041399,0.191262304,1.351233694,-0.404822783,-0.918230799,0.573193839,0.160562809,-0.592951217
UBE3C,0.342025608,-0.192087864,-0.173605354,0.244932772,0.462406438,-0.152050942,0.439722585,-0.02421396,0.159520129,0.041492135,0.238980573,0.020166257,-0.071606638,-0.368327235,0.03798554,0.036711844,0.568391233,-0.183316552,0.316663891,-0.536348771,-0.401465355,-0.491777363,0.081425254,1.080910993,0.274245833,0.066236256,-0.419284512,-0.236808202,0.341156552,0.00968271,-0.153408056,0.082197416,0.252301323,-0.082049744,0.075037647,0.220019322,0.195012578,0.149218873,-0.065060894,0.186649701,-0.037347788,-0.065320601,0.373244119,0.100938454,-0.335989082,-0.158053358,0.065643718,-0.609646865,0.263398629,-0.056262894,-0.231287174,0.117274169,-0.127428166,0.125804233,0.24928493,-0.252700249,-0.245057866,0.083425672,0.298490952,0.036148853
TOMM20,0.322651465,0.055658172,-0.407574017,0.225938619,-0.439858025,0.374685683,-0.311566728,0.204771181,0.049642083,0.691381185,-0.012897901,-0.699321716,0.100992009,0.474656236,-0.137506444,0.017045849,-0.453429769,0.213740098,-0.031025126,-0.707864134,-0.173159218,0.064800153,0.242533037,-0.142188477,-0.500567193,0.136968806,-0.442761047,0.097355162,-0.336417991,-0.157745547,0.181516282,0.45731591,-0.178466145,-0.133940013,0.766754409,0.078172725,-0.187509979,0.563508321,-0.337501572,-0.309682822,-0.425450325,-0.014304412,-0.294899005,-0.202281632,-0.402980244,-0.290781941,-0.13789407,0.635725594,-0.116063319,0.144498661,0.560811961,0.058575542,-0.404520817,-0.611797789,0.146715152,-0.290511863,0.442980484,-0.044593532,0.097255973,-0.219832965
DHCR24,0.20748068,-0.594011521,-0.837566328,0.256895741,0.047967772,-0.796519815,0.013909533,-1.341320151,-1.072795737,-0.546510821,0.806827318,-0.765091198,0.208149541,0.339480163,-0.958371907,-0.365945584,0.991873056,-0.392556536,0.137949142,-0.960305868,0.693371972,-0.97577896,-0.311572492,0.463571593,-1.180156725,0.809406146,-0.041892219,0.386827169,0.163222623,0.855182846,0.332570162,0.45593848,0.886601913,0.381771921,-0.54487113,-1.670941589,-0.361045916,-0.528008236,-0.083530489,-0.779093156,0.809177251,0.67990332,0.649682165,-0.209697565,-0.779739974,-0.841328494,0.45255435,0.228465042,0.828034598,-0.768700601,1.014636237,0.989074162,1.111914963,-0.235190644,-0.341740224,0.224792906,-0.436587003,0.528090856,-0.701387516,-0.590437223
SF3B3,0.104448026,-0.187263932,-0.095015557,0.759510143,-0.043394403,0.536178358,-0.074924526,0.065067838,-0.155136689,0.279459204,0.305323347,-0.260806184,-0.403118587,0.125366048,0.029076534,-0.031066017,-0.226677814,-0.012898937,-0.180404759,0.427628409,0.047970146,0.079342893,0.230664518,0.255553899,-0.055189742,-0.121856306,0.118436322,0.420478368,0.076986489,-0.021774724,-0.149477598,-0.255611585,0.083052241,0.056726971,0.116776294,0.271287408,0.108195729,-0.204092591,-0.014802769,-0.06240823,0.030516198,-0.165840717,0.181952228,-0.404871115,0.008382243,-0.118546213,-0.217793335,0.324435419,0.408179359,-0.406400691,0.449607693,-0.348363984,-0.051026379,-0.334677602,0.594688304,0.019799873,0.073171309,0.084372361,-0.178693342,-0.294028792
PUM3,0.092242764,-0.222151216,-0.566875383,0.747092387,0.230578496,0.255493345,-0.412563267,-0.534042667,-0.51803034,0.342272586,-0.153234291,-0.796323111,-0.639838379,0.485812287,0.159757998,-0.537826975,-0.189711075,-0.225736424,-0.040297395,-0.596393278,-0.125882046,0.243440493,-0.344835403,-0.720634543,-0.087654863,-0.253309429,-0.524955489,1.020293825,-0.419814656,0.690647094,-0.679745348,-0.544059329,0.330355239,0.599583928,-0.040790801,-0.437003792,-0.488643706,-0.256655156,-0.485106856,-0.6440817,0.081427021,-0.396330456,0.735729575,-0.302887031,-0.771646437,-0.191460491,-0.508538836,0.528410629,-0.045743948,-0.76404339,0.926795814,0.487266393,-0.242818098,-0.497956225,0.659328632,-0.721278541,-0.06293123,-0.081117108,-0.247544698,-0.29855239
TLR1,0.126115759,-0.586906677,0.130787626,-0.368586115,0.183620286,-0.478846995,0.044567994,0.661998475,0.048850439,-0.277095307,-0.977819304,-0.209327851,-0.023958446,-0.321085261,-0.243302014,-0.131417906,0.13439172,-0.754182869,-0.044766311,0.381554713,0.213861547,-0.355457177,-0.491070393,0.079208364,0.570173414,0.623087785,0.361102476,-0.212163711,0.320092072,-0.100714329,0.041567449,-0.458127228,-0.354439572,-0.894776986,0.054051266,0.212716608,-0.064387807,-0.121132114,-0.006590863,0.43338037,0.141063016,-0.04200895,0.209069094,0.385865279,0.047816318,0.142231108,0.174564175,-0.538987172,-0.071657405,0.060104814,-0.777067315,-0.642442017,0.230456595,0.235624755,-0.215206348,0.472277442,0.065250452,-0.524065044,0.106075304,0.14180646
