,AP.27JZ,AP.2XNK,AP.3336,AP.352Q,AP.3FY5,AP.4HAU,AP.4M7L,AP.52RG,AP.5JDU,AP.5L2V,AP.5MX6,AP.62LT,AP.67ZV,AP.7GDN,AP.8MWD,AP.9D3B,AP.9LNA,AP.9PXS,AP.A5NG,AP.AAFC,AP.AGZG,AP.B2SL,AP.B9CH,AP.CT3G,AP.D35H,AP.D9X4,AP.DM87,AP.DMUM,AP.DT88,AP.E7CU,AP.E98M,AP.EPNF,AP.EZEX,AP.FX68,AP.HKYN,AP.HMFR,AP.HML4,AP.JBET,AP.JK59,AP.KX5B,AP.KXUT,AP.LWHD,AP.MAZ4,AP.N8FG,AP.NMZS,AP.QAHT,AP.QUHC,AP.RA2G,AP.RBLG,AP.SJVE,AP.SS2L,AP.U8MP,AP.W455,AP.WDKZ,AP.WPAM,AP.WTXJ,AP.XCJX,AP.XSR5,AP.XVLY,AP.YTZ8
ABCA1,0.87618701,0.341475061,-0.129483091,-0.667934978,0.136179124,-0.331109156,-0.046617563,0.620009857,-0.009937793,-0.437277353,-0.409983709,1.479140326,0.055287218,0.296812721,-0.106824938,0.192851254,0.402863978,-0.10338341,-0.026919815,0.334274711,0.177865587,-0.589047651,-0.255046357,-0.278325091,0.16962445,0.102754823,-0.156511931,-0.215081521,-0.000388601,-0.506944401,0.156748475,-0.055894456,-0.360829803,-0.4757584,0.281158754,0.638694235,-0.010287857,-0.437423382,0.348582708,0.409785542,0.366015524,0.125453286,-0.096418586,0.920455907,-0.255494566,-0.159550057,-0.026583687,-0.310176218,0.278114692,0.803120348,0.155923141,-0.991662872,-0.007003644,0.511172944,0.449470222,-0.039287231,0.166222736,-0.097895714,1.30236926,0.949199541
H6PD,0.114246444,0.310145044,0.458304711,-0.606882155,-0.181762393,0.764633516,-0.316333369,-0.03611617,0.128822912,-1.021352841,0.125532263,0.218208236,0.576760146,-0.646429076,-0.126667676,0.325412444,0.216752108,-1.018753283,-0.560515666,1.148169568,0.233876235,-0.578477546,0.167748348,0.314537443,0.555309997,0.331928817,0.355448789,-0.73570407,0.036982119,0.333924181,-0.875227637,-0.495248618,-0.546541358,-0.421660968,-0.529515982,0.047685935,1.300907742,-0.213252465,0.229324932,0.260668179,0.07305577,-0.634312887,-0.120589644,-0.337717823,0.058315635,-0.08897187,-0.64008882,-0.130342419,0.504405163,0.187187291,-0.4088914,-0.426615652,0.534299321,0.065770924,-0.734531009,-0.093039502,-0.245587954,0.498447807,-0.570123915,0.23023302
SEC24A,0.119015616,-0.366582625,-0.148709369,-0.809163658,0.435679709,-0.596295383,-0.118554799,-0.11948184,0.366620261,0.84211895,-0.415309426,0.697229518,0.657812216,-0.260818134,0.465316757,0.337189407,-0.247045465,-0.547541661,0.381337256,-0.267815965,0.884786577,-0.258056938,-0.406711059,0.027492092,-0.143566982,0.183589038,0.026880123,-0.248962287,-0.228197269,0.165028936,-0.357198693,-0.595598818,0.218484367,0.231275967,0.64005748,0.818201093,-0.394491686,0.566453742,0.617184413,0.446183762,-0.177633563,0.067384071,0.739836387,-0.046424054,-0.514177161,-0.420045322,0.040645304,0.582819616,-0.754239909,0.14829065,-0.223432659,-0.310139404,-0.421607439,-0.29515273,-0.193069828,-0.547452724,0.855386832,0.424162536,0.513373086,0.034892489
SEC24B,0.206251748,0.051897959,0.312636072,-0.036418364,0.007831469,-0.014470552,0.071803066,-0.11948184,0.173516654,0.143650245,-0.187766509,0.378989366,-0.044212256,0.26598609,0.014454994,0.132535132,0.022555468,0.323568321,-0.105086176,0.055455101,0.174774757,0.281706732,0.455656558,0.34410996,0.057065685,0.105136321,-0.063309909,0.317774624,0.122777053,-0.164236978,0.338114116,0.296609793,0.52687789,0.419851225,0.367317401,0.209962876,0.04748562,0.409645176,0.246263096,-0.002726383,0.061882872,0.081184939,-0.383649518,-0.071740919,0.06722289,0.085099362,0.217105911,0.375321371,0.021341282,0.056381644,0.458122117,-0.082395796,0.250028269,0.044479275,0.264913456,-0.153237795,0.469810679,0.279682526,0.480140534,-0.15099032
ADGRL2,0.531755956,0.612288563,-0.301608977,0.538562377,0.487977254,0.023858741,0.747214596,0.222651009,-0.136778275,-0.5366843,1.142353516,0.901283605,-1.444362638,1.363054484,-1.412084818,0.314474054,1.026483503,0.186482858,-1.710505928,-0.278507305,0.764304275,-0.223512452,0.021654708,0.406399026,0.309787441,-0.270766866,0.65744035,-0.336486607,0.073950177,0.442814893,0.505678522,-0.205239603,0.349033989,0.429490817,-0.232827391,-1.296841565,0.44968555,-0.107297058,0.113869622,-0.555587878,0.191932897,-0.255143391,-0.366710268,-0.357865552,0.301409343,-0.087900217,0.572018628,-0.450959743,-0.607665748,0.504167719,-0.376151482,-0.277130645,0.828130182,0.0906473,0.06251226,0.22102545,0.145505643,-1.171578107,-0.812907897,0.60967009
VNN2,-0.046702803,-1.045832532,-0.356848396,-0.668304097,2.371443852,-1.585583785,-1.511900854,0.809945813,2.346336409,0.205969525,-2.079213355,-0.350743589,-0.25189875,-0.844045977,0.044169657,-1.423044512,0.46476466,0.347845706,1.13281158,-1.153340739,-0.668417118,-1.061021755,-0.973676513,-1.138534753,0.162185607,-1.049961746,0.21936462,2.209129463,1.231937195,-0.214429917,-0.890303519,-1.682043771,0.423528047,-0.676840855,-0.969565414,1.776271165,-0.417757439,-1.244623121,0.09647756,-0.52421755,-0.416766806,-0.652450139,0.443538976,-0.046103508,-0.590890422,-0.744243352,-0.415203963,-1.151529673,2.651506416,-0.257615006,-2.248227568,-0.555049412,-1.198139928,-0.468311109,0.570298819,-1.069649923,0.244815089,-1.447881716,0.238740769,-0.262908675
CBX6,0.222749267,0.115408284,0.218753728,0.251042885,-0.884673171,0.622334917,-0.293403508,0.007388254,-0.211384692,-0.032921604,0.533392939,0.039070706,-0.041158409,-0.084130826,0.139461552,-0.102913862,0.07987181,0.151451136,0.148096149,0.061725601,0.316245658,0.075976678,0.111569589,0.14174284,0.121756369,-0.02327089,-0.008707841,0.233000349,-0.209907741,-0.159561293,0.023923721,0.112502094,-0.113799173,-0.070907651,0.205497795,0.111892206,-0.001697652,0.001499472,-0.160069112,-0.011164335,0.069855753,0.46167385,-0.366219345,0.102346747,0.020449447,0.118167228,0.06649429,0.109863708,0.088995528,0.160938971,-0.044667472,0.071785323,-0.852051822,0.119984034,0.036870916,0.331576314,0.205269893,0.159581631,-0.069044187,0.19308373
NADK,-0.132112891,-0.062778961,0.394520224,-0.393982931,0.086509823,-0.586977899,-1.129754457,0.035755119,1.136514991,0.027989959,0.105739743,0.186252038,0.79065129,-0.18962825,0.12403084,-0.282209709,0.01209979,-0.732063711,-0.025969713,0.480075109,0.429207305,0.207258884,-0.496246437,-0.501143373,0.025789189,-0.438121022,0.054074824,-0.153944882,-0.159271386,-0.331892066,-0.231723109,-0.540323579,-0.541064465,-0.431395579,-0.205040425,0.359207058,-0.231373861,-0.337145329,0.343985305,-0.361249304,0.053418712,-0.602765296,1.199029797,0.395722137,-0.410082929,-0.421541365,0.692022143,-0.457015415,0.291947676,0.108806878,-0.233116138,0.022454015,-0.654108042,0.051027292,-0.220729731,0.080765757,-0.110951645,0.705114805,0.41364529,0.235119227
TDP2,0.315196565,0.949631426,0.02426308,0.564373234,-0.168753779,0.341255175,-0.563191436,-0.544263708,1.217398937,0.561546727,1.308866995,-1.853008344,-0.220448714,-0.670133816,0.362834409,-0.15715204,0.259781293,1.063534057,0.212028917,-1.787888708,-0.419783249,0.073101803,-0.714458342,-1.280005148,0.151475334,-0.809608307,-0.385492016,-0.276425408,-0.32189388,-0.189052298,-0.456079392,0.329854872,-0.410844442,0.349900445,-0.527329993,-0.075661878,-0.310027131,0.034288613,-0.008335744,-0.374973684,0.042093482,-0.371970475,-0.123191003,-0.071818507,-0.07367487,0.049061881,-0.120155709,-0.330051432,-0.112449919,-0.870170646,-0.172823819,0.719459847,-0.38931842,0.526698346,-0.223035165,0.574637245,-0.525826381,0.595746675,-0.648848283,0.756773809
SFT2D2,1.121544024,0.084608673,1.575037245,-1.112383799,0.788085188,-0.093812481,-1.127400633,-0.142371979,0.633684188,-1.125808449,-0.140633652,-0.347120051,0.281900421,-0.103342552,-1.02609511,-0.295242333,-0.001122243,-0.177611203,-0.195302999,-0.544036759,-0.140895581,0.097785375,0.174933724,0.597038737,-0.303058373,-0.657639671,-0.635399119,-0.417607585,-0.131145129,0.211141415,0.396931036,-0.181704051,-0.648267481,-0.055304707,0.253500886,-0.906353452,-0.082692426,-0.189120039,0.022301005,-0.009614822,0.021555426,-0.23450487,0.237339555,-0.386381405,-0.265456791,-0.647930657,0.137315215,0.654702117,0.898660358,-0.744546261,0.259873444,-0.964203082,-0.163491038,0.059106796,0.571834759,-0.056589145,0.483139521,-0.12946891,-0.632860375,0.018913978
