Gene	RNA_log2FC	RNA_Pval	RNA_FDR	Prot_log2FC	Prot_Pval	Prot_FDR	Meta_PVal	Meta_FDR
ACTBL2	-0.814335157881914	0.0467794568432038	0.220760772370319	0.0895144421152678	0.486948939174237	0.626394529966657	0.108928050880869	0.174884055904996
ACTL6A	0.470557242366268	0.0019600048349386	0.0244923031616602	0.0813380784438356	0.337359946528812	0.488641646773234	0.00550234385525449	0.0152838339354876
ACTN1	0.195431194691579	0.220595839690479	0.567025782909656	0.0996308428245208	0.468170963177817	0.610176945161913	0.337749956700233	0.427233397065201
ACTN2	-1.19432093350694	0.000128658229189464	0.00341997403241142	0.103355201414782	0.408106455971635	0.557067507308718	0.000569933181693637	0.00239512977143693
ACTN4	0.0600279901843335	0.592704776333444	0.897171970438365	0.0195988304123277	0.851603017781783	0.909156670974551	0.849842991331564	0.882806455057618
ACTR10	0.0191434882716361	0.856072692371015	0.979412103366344	0.0587376691519551	0.465632523684746	0.608327955998669	0.765245079231201	0.814517269517883
ACTR1A	0.133198770953403	0.11813955486149	0.396089150014052	0.0394044246169679	0.597081986959139	0.722837256186454	0.257579549861618	0.346039274701705
ACTR1B	0.162459992268187	0.0543909379739431	0.243091049617422	-0.00873240432395439	0.921684057555033	0.954789444112112	0.200179675069213	0.285174934626723
ACTR2	-0.0259396157479213	0.732504919500643	0.973521341028496	-0.00928191129285161	0.901828079780292	0.943332737937511	0.934486535575798	0.948062918373708
ACTR3	0.135780552170417	0.126076654147674	0.412100328321194	-0.0626068527477207	0.426090251369947	0.574916032948924	0.21079583571946	0.297070253582761
ACTR5	0.326476632646826	0.00591525703760555	0.0535862167795372	0.19783630168975	0.0274076484623029	0.0791360771300623	0.0015769981524092	0.00552171049428377
ACTR8	0.0264965380132178	0.736012376820865	0.975877551481473	0.215730377501132	0.0151396220240203	0.0514841813715456	0.0612522109402022	0.108973218415529
ACVRL1	-0.443500265042217	0.00566319523559007	0.051970080999363	-0.466993959676477	1.25276939051817e-05	0.000377019214996259	1.23882507952178e-06	1.49298403132044e-05
ACY1	0.366410238518976	0.020139250756859	0.125464044248143	0.273413121027138	0.105418727942002	0.213529713900081	0.0151902355993914	0.035491382238478
ADA	0.0255867881885528	0.910114194277873	0.979412103366344	0.171116450144132	0.401028712298101	0.549572607052347	0.732849914685654	0.787892742810245
ADAM10	0.204352779414246	0.0439531871530927	0.211977896493938	0.0618632272988136	0.613362531176243	0.736964227927397	0.124374539158967	0.194664129994931
ADAM15	-0.0202954952883836	0.909185610725413	0.979412103366344	0.0714829085703802	0.543624904937897	0.676665036161051	0.842558983556863	0.877191127927669
ADAM17	0.158546011674159	0.101655376294279	0.361531811361481	-0.0679786594840031	0.413900575787192	0.562254948089863	0.175382019295141	0.257271321295099
ADAM9	0.259770011392424	0.0551108895698545	0.245020413511835	0.48475800830553	0.00259415572988602	0.014193862366646	0.00140863241042762	0.00503362093291018
ADAMTS16	0.28585148404763	0.338834580786967	0.710431651801085	-0.0437252370318062	0.887533661335841	0.934413896212817	0.662066401022706	0.727601139644309
ADAMTS4	0.357565136702206	0.310586068825902	0.680577939649378	-0.0519397998312934	0.819630177276233	0.890251664733415	0.602861619379907	0.677686478111428
ADAMTS5	0.84921537055753	0.00612076709285367	0.0548489727435372	0.147286700006094	0.570368160916125	0.699546259216394	0.0232420805995955	0.0497745690578401
ADAMTSL3	-0.38293652425906	0.117611057681046	0.394969664369746	-0.178260850842029	0.271303442459127	0.421486311137277	0.141828825402578	0.217205366552175
ADAP1	0.0460374687792813	0.804781072944429	0.979412103366344	-0.0341975003398971	0.814818799399769	0.887232601754931	0.932460864189499	0.946264780283029
ADAP2	-0.448906920033585	0.00492783944179428	0.0472195196688674	-0.155492414422012	0.146822916984172	0.271799097961946	0.00595556697090844	0.0163455014944885
ADAR	0.104202776827258	0.272999408668343	0.636856678164324	0.0954199304571083	0.337060582206074	0.488641646773234	0.311550311336951	0.400407086924726
ADARB1	-0.585581001150837	0.000450787567298149	0.00839999876262085	-0.145707799663555	0.224347566713205	0.368619415829595	0.00103146402715216	0.00390430557795387
ADCK1	-0.111469617484785	0.327865916360591	0.699158596623208	-0.352827223925762	0.00585235315994443	0.0258397692863825	0.0139228374550387	0.0329735155195084
ADCK5	0.612018987843768	3.36041212936447e-05	0.00130986928762717	-0.0339519952866998	0.796449473080872	0.875818354713715	0.000308547349832311	0.00143374738678298
